FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
149,150,24.1477,90.0842,6.47,341.565,-0.108158,0.103253,10,1.941,0.051579584,4.665021,3.0804,1236.93,16,0,0.108158,0.744795,9.050498,12.49,0.066641
150,151,24.1541,90.1775,14.37,335.556,-0.43263,0.116671,15,4.311,0.161421542,5.221003,10.293005,3871.05,20,-0.081118,0.351512,2.84368,7.109029,20,0.038655
151,152,24.1553,90.0465,4.85,-1,0,0.107547,11,1.455,0.131085443,1.837878,0.126833,3143.56,16,0,0,0,10.491274,6.9282,0.075245
152,153,24.1495,89.8887,6.5,-1,0,0.094182,13,1.95,0.077863308,1.550196,0.106726,1867.24,6,0,0,0,10.203592,13.8564,0.114969
153,154,24.1411,90.0193,5.38,90,0,0.104233,14,1.614,0.089557149,5.924403,11.914934,2147.67,6,0,0,1.88363,8.602373,12.4499,0.084074
154,155,24.1295,89.904,6.46,225,0,0.088355,12,1.938,0.060798549,6.294541,7.647714,1458.01,6,0,0,0.666172,10.875406,7.2111,0.112509
155,156,24.1142,89.9583,6.48,258.69,-0.216315,0.077518,12,1.944,0.082688378,4.364489,5.494113,1982.95,6,-0.140605,0.07571,2.40062,6.579003,14.2478,0.100668
156,157,24.1218,90.2006,12.3,322.125,0.43263,0.136606,18,3.69,0.098542596,3.778693,4.166386,2363.15,20,0.135197,-0.297433,2.68358,5.778657,18.735,0.038194
157,158,24.1085,90.0797,6.3,288.435,-0.216315,0.089349,11,1.89,0.07929736,4.604038,4.621067,1901.63,16,0,0.216315,1.48934,7.72537,8.66025,0.073407
158,159,24.1069,89.971,6.49,288.435,0.540788,0.083004,16,1.947,0.040844418,3.217743,2.011436,979.49,6,0.216315,-0.324473,1.48934,6.339076,12.9615,0.097805
159,160,24.0982,89.9231,6.46,74.7449,-0.43263,0.066684,11,1.938,0.028526959,5.388131,10.943129,684.105,6,-0.113565,0.319065,2.68358,7.388095,12.9615,0.108341
160,161,24.1008,90.1008,6.8,203.199,-0.108158,0.089109,14,2.04,0.11196197,4.085958,3.827132,2684.96,16,-0.108158,0,1.79322,6.857263,15.4919,0.074509
161,162,24.0866,89.9537,6.48,18.4349,0.108158,0.058233,14,1.944,0.028881364,3.217743,2.011436,692.604,6,0.086526,-0.021632,1.48934,6.339076,12.0416,0.09989
162,163,24.0848,89.8868,6.37,-1,0,0.090249,12,1.911,0.122890205,2.397494,0.177442,2947.03,16,0,0,0,11.05089,7.2111,0.105221
163,164,24.0767,90.1656,12.52,261.87,-0.108158,0.100438,11,3.756,0.117193195,4.42127,4.456164,2810.41,16,-0.064894,0.043263,1.66504,7.332834,13.7477,0.050055
164,165,24.0817,90.0131,4.81,315,0,0.075101,10,1.443,0.129603019,5.788594,3.787014,3108.01,6,0,0,0.333097,11.510389,11.6189,0.092364
165,166,24.0649,89.9635,6.25,60.9454,-0.216315,0.045281,18,1.875,0.109209374,4.353708,8.769403,2618.95,6,-0.012724,0.203591,4.83849,5.205335,18.4391,0.105943
166,167,24.0578,89.9763,6.2,-1,0,0.051921,11,1.86,0.143559068,2.531025,0.192243,3442.69,6,0,0,0,11.184421,15.4919,0.096757
167,168,24.0615,89.9531,6.3,45,-0.108158,0.044716,14,1.89,0.095346316,3.181026,1.180925,2286.5,6,0,0.108158,0.666172,7.761891,15.1987,0.105943
168,169,24.0647,89.8566,6.3,-1,0,0.102436,12,1.89,0.278813644,1.550196,0.106726,6686.23,6,0,0,0,10.203592,7.2111,0.102558
169,170,24.0517,89.823,6.31,345.964,-0.216315,0.135759,16,1.893,0.218418748,5.26006,8.160488,5237.9,6,0,0.216315,1.94155,7.880445,13.2288,0.101225
170,171,24.0493,89.8446,6.36,-1,0,0.116068,11,1.908,0.310351528,6.939268,2.707296,7442.54,6,0,0,0,15.592664,10.198,0.102558
171,172,24.0437,89.8708,6.4,-1,0,0.098342,11,1.92,0.301926942,4.984183,0.837696,7240.51,16,0,0,0,13.637579,6.9282,0.101076
172,173,23.9862,89.8399,6.35,303.69,0.540788,0.110717,17,1.905,0.289889913,3.341166,2.361172,6951.85,6,0.302841,-0.237947,1.69799,6.215725,12.0416,0.097005
173,174,23.3187,89.9571,5.95,-1,0,0.077106,9,1.785,0.302574121,3.629638,0.371641,7256.03,9,0,0,0,12.283034,11.5326,0.028922
174,175,23.3005,89.9481,6.12,300.964,-0.324473,0.085552,5,1.836,0.361590426,5.780848,8.878355,8671.3,9,-0.216315,0.108158,1.37315,9.054049,6.245,0.028829
175,176,23.2608,89.8483,6,153.435,0,0.059096,6,1.8,0.077813269,7.927316,2.6078,1866.04,9,-0.054079,-0.054079,1.05324,11.690257,7.48331,0.028152
176,177,23.2293,89.7231,6.6,225,0,0.108077,13,1.98,0.100578375,3.542022,1.887909,2411.97,9,-0.027039,-0.027039,0.999202,7.400957,12.6886,0.029653
177,178,23.1881,89.6861,5.7,-1,0,0.110004,2,1.71,0.004510529,3.090641,0.268951,108.167,9,0,0,0,11.744037,10.8167,0.029168
178,179,23.1873,89.8159,5.18,-1,0,0.103259,5,1.554,0.131568325,3.783788,0.407654,3155.14,9,0,0,0,12.437184,0,0.027526
179,180,23.1751,89.6969,5.4,-1,0,0.117802,8,1.62,0.03377674,3.016533,0.257254,810,9,0,0,0,11.669929,6,0.029127
180,181,23.1784,89.814,4.85,-1,0,0.106666,5,1.455,0.147181519,3.159634,0.280318,3529.56,9,0,0,0,11.81303,7.48331,0.027526
181,182,23.176,89.8348,5,270,-0.324473,0.090446,5,1.5,0.066502648,4.587244,3.405029,1594.8,9,-0.216315,0.108158,0.942067,8.552948,7.48331,0.026757
182,183,23.141,89.8811,5.84,-1,0,0.066431,5,1.752,0.058382469,9.169593,10.320638,1400.07,5,0,0,0,17.822989,3.31662,0.02274
183,184,23.1404,89.8717,6,-1,0,0.069027,5,1.8,0.077601851,2.93649,0.245191,1860.97,5,0,0,0,11.589887,3.31662,0.02346
184,185,23.1327,89.9044,5.15,-1,0,0.064381,5,1.545,0.038961886,4.280225,0.5491,934.345,5,0,0,0,12.933621,4.89898,0.0222
185,186,22.9884,89.8111,5.77,-1,0,0.036296,7,1.731,0.531470748,2.061022,0.145004,12745.2,9,0,0,0,10.714418,8.48528,0.023024
186,187,24.6143,90.2654,16.3,270,-0.216315,0.084175,14,4.89,0.015011884,4.678855,2.361497,360,20,0,0,0.471065,9.847554,12.8452,0.063968
187,188,24.1512,89.9432,6.42,270,-0.216315,0.089555,11,1.926,0.251399441,6.303949,12.380441,6028.81,6,0,0.216315,1.41294,9.523834,8.66025,0.104421
188,189,24.9918,91.7947,8.81,36.8699,0,0.095126,13,2.643,0.199280681,3.652519,3.537306,4778.95,16,0,0,2.35405,5.904655,9.32738,0.030332
189,190,24.9745,91.7815,8.94,45,0.43263,0.091485,14,2.682,0.221449898,1.917393,0.371152,5310.59,16,0,0,0.333097,7.639188,12.4499,0.029895
190,191,24.9612,91.718,8.12,45,0,0.113474,13,2.436,0.107977149,3.322658,2.305093,2589.4,5,0.027039,0.027039,1.66504,6.234221,10.583,0.027867
191,192,24.9722,91.7437,8.58,-1,0,0.097163,12,2.574,0.174107835,3.090641,0.268951,4175.28,5,0,0,0,11.744037,5,0.028645
192,193,24.9384,91.7777,6.73,-1,0,0.087142,13,2.019,0.3082949,1.144731,0.083679,7393.22,16,0,0,0,9.798127,12.4499,0.029996
193,194,24.9311,91.8065,5.88,26.5651,-0.108158,0.067153,18,1.764,0.355673241,4.283173,3.045722,8529.4,16,-0.216315,-0.108158,1.05324,8.046114,15.1987,0.030977
194,195,24.9101,91.8007,6.42,-1,0,0.056187,14,1.926,0.27353238,3.587078,0.362271,6559.58,16,0,0,0,12.240474,12.8452,0.030464
195,196,24.9112,91.7827,7.93,-1,0,0.065991,14,2.379,0.218508402,2.93649,0.245191,5240.05,16,0,0,0,11.589887,16.9706,0.029916
196,197,24.9034,91.8091,8.72,188.13,0.324473,0.04885,18,2.616,0.286640674,3.322658,2.305093,6873.93,16,0.216315,-0.108158,1.66504,6.234221,16.9706,0.030988
197,198,24.8953,91.7685,7.93,330.945,-0.43263,0.069013,12,2.379,0.125430132,6.771532,2.82023,3007.94,16,-0.146013,0.286617,2.42357,8.967763,17.2337,0.029814
198,199,24.882,91.8501,6.92,135,0,0.019712,14,2.076,0.32546933,5.625243,9.17674,7805.08,16,0,0,1.66504,8.536807,16.9706,0.032136
199,200,24.8828,91.8418,7.11,78.6901,-0.108158,0.021982,21,2.133,0.298997123,3.01735,1.550384,7170.25,16,-0.064894,0.043263,1.20084,6.539385,17.4356,0.032136
200,201,24.8762,91.8337,7.96,120.964,0.43263,0.023493,20,2.388,0.253210458,3.800455,4.285645,6072.24,16,0.302841,-0.129789,2.74472,5.75693,15.6525,0.031577
