FID,Serial,Lat,Long,GWL18,Aspect,Curvature,Drainage_density,Elevation,GWL_m,GWL_f,GWL_m_SP1,GWL_f_SP1,Distance_from_stream,Lithology,Plan_curvature,Profile_curvature,Slope_degree,TWI1,TRI,Sy
36,37,24.7846,90.3009,14.9,296.565,0,0.056394,20,4.47,0.128414161,3.995491,2.562873,3079.5,14,0.054079,0.054079,1.05324,7.758432,15.0997,0.086438
37,38,24.7806,90.6904,11.63,341.565,0.108158,0.064671,14,3.489,0.096844585,2.585579,0.884613,2322.43,16,0,-0.108158,0.744795,6.971056,16.4924,0.070276
38,39,24.7612,90.574,5.7,278.13,-0.216315,0.066596,13,1.71,0.243622034,5.114417,6.754282,5842.3,16,0,0.216315,1.66504,8.025981,10.9545,0.075052
39,40,24.7599,90.624,5.7,45,0,0.047812,13,1.71,0.040051249,5.767541,3.739477,960.469,16,0,0,0.333097,11.489336,5.19615,0.075252
40,41,24.7551,90.1545,15.25,104.036,-0.216315,0.079072,18,4.575,0.096399233,4.161448,4.221272,2311.75,6,0,0.216315,1.94155,6.781833,10.8167,0.090771
41,42,24.7449,90.3906,11.9,-1,0,0.070269,18,3.57,0.113901839,0.451584,0.055207,2731.48,14,0,0,0,9.10498,11.6619,0.080111
42,43,24.7416,90.6304,5.1,18.4349,-0.108158,0.042049,13,1.53,0.007505942,3.278726,1.340822,180,16,0,0.108158,0.744795,7.664203,13.8564,0.076679
43,44,24.737,90.2008,15,101.31,-0.108158,0.079581,16,4.5,0.267425462,13.115211,5.2244,6413.13,14,0,0.108158,1.20084,16.637246,13.6015,0.086655
44,45,24.7326,90.2354,15.1,-1,0,0.086743,17,4.53,0.374547767,1.837878,0.126833,8982.03,14,0,0,0,10.491274,0,0.0851
45,46,24.7269,90.3398,12.1,341.565,-0.108158,0.092541,16,3.63,0.274491889,4.531489,2.84323,6582.59,14,0,0.108158,0.744795,8.916966,8.24621,0.081036
46,47,24.7017,90.4797,5.2,239.036,0.108158,0.077392,19,1.56,0.041584838,3.141791,1.82245,997.246,14,0.064894,-0.043263,1.37315,6.414992,12.3288,0.079486
47,48,24.7188,90.6987,5.4,108.435,0.108158,0.058803,14,1.62,0.290728076,2.585579,0.884613,6971.95,16,0,-0.108158,0.744795,6.971056,9.32738,0.07443
48,49,24.7195,90.5559,10.1,-1,0,0.067027,14,3.03,0.331816855,3.159634,0.280318,7957.3,6,0,0,0,11.81303,11.3137,0.076446
49,50,24.707,90.4376,6.2,-1,0,0.079783,15,1.86,0.06458071,6.882915,2.617288,1548.71,14,0,0,0,15.536311,11.6619,0.077865
50,51,24.7032,90.5221,9.6,90,0.216315,0.083578,16,2.88,0.210002502,3.168455,1.886685,5036.07,6,0.216315,0,1.41294,6.38834,13.2288,0.080515
51,52,24.7036,90.1642,14.95,35.5377,0.216315,0.054824,18,4.485,0.070821901,6.281142,15.487939,1698.38,6,0.027039,-0.189276,2.02533,8.821056,15.0997,0.083406
52,53,24.6934,90.6851,6.2,-1,0,0.058803,13,1.86,0.307962137,2.531025,0.192243,7385.24,16,0,0,0,11.184421,10.9545,0.074543
53,54,24.6989,90.2983,15.3,-1,0,0.109951,17,4.59,0.340593386,0.451584,0.055207,8167.77,14,0,0,0,9.10498,12,0.079309
54,55,24.6861,90.3636,11.8,180,-0.108158,0.11316,17,3.54,0.2415579,5.886527,7.424781,5792.8,14,0,0.108158,0.942067,9.852231,10.5357,0.079689
55,56,24.6877,90.5136,11.4,-1,0,0.08106,14,3.42,0.166381719,4.476935,0.617887,3990,14,0,0,0,13.130332,11.3137,0.079259
56,57,24.676,90.3307,16.5,171.87,0.540788,0.124795,19,4.95,0.346544765,3.322658,2.305093,8310.49,14,0.28121,-0.259578,1.66504,6.234221,11.6619,0.076794
57,58,24.6721,90.2919,16.5,180,-0.108158,0.10932,15,4.95,0.241152579,2.887096,0.805929,5783.08,5,0,0.108158,0.471065,8.055794,11.6619,0.076234
58,59,24.6807,90.1789,15.2,258.69,-0.216315,0.061376,16,4.56,0.055847963,5.789939,8.182977,1339.29,14,-0.135197,0.081118,1.20084,9.311973,12,0.075212
59,60,24.6672,90.448,11.4,-1,0,0.089048,16,3.42,0.051290605,2.531025,0.192243,1230,14,0,0,0,11.184421,15.0997,0.077846
60,61,24.6385,90.3647,14.9,-1,0,0.135073,15,4.47,0.159979984,2.531025,0.192243,3836.48,14,0,0,0,11.184421,9.94987,0.072438
61,62,24.6693,90.1812,14.95,161.565,-0.216315,0.064084,17,4.485,0.04904466,7.339169,15.325967,1176.14,14,-0.135197,0.081118,0.744795,11.724646,15.4919,0.075212
62,63,24.6576,90.603,11.2,315,0,0.061067,15,3.36,0.30263125,3.495504,2.885121,7257.4,6,0,0,1.9978,6.061506,9.64365,0.076023
